,질문,답변
57,"질문
국고증권 납부기한 경과한 수입금의 수납 여부","답변
국고금은 원칙적으로 납부서에 기재된 납부기한까지만 수납하여야 하고 납부기한이 경과한 국고금은 수납할 수 없으므로 국고대리점은 납부기한이 경과된 납부서를 받은 경우 납부자로 하여금 해당 관서로부터 납부서를 재발급받아 납부하도록 안내하고 있습니다.
  다만, 관서에 따라 아래와 같이 예외가 인정되는 경우가 있습니다.
  ① 납부서류에 납부기한 후 금액이 기재되어 있거나 납부서류에 의해 납부기한 후 금액을 계산할 수 있는 경우  
  ② 관계 수입징수관의 요청이 있는 경우*(전화요청 시 해당 수입징수관서와의 통화내용 기록)
    * 다만, 이 경우 납부자에게 납부기한 경과에 따른 가산금이 추후 고지될 수 있음을 안내"
58,"질문
국고증권 국고예금계좌 설치대상 금융기관","답변
현재 관서운영경비 및 선사용자금의 출납공무원은「은행법」상 은행* 및 우체국에 국고예금계좌를 개설할 수 있습니다.

   * 수출입은행 및 농·수협·산림조합, 신협, 저축은행, 새마을금고 등 비은행 금융회사는 제외됨"
59,"질문
국고증권 국고예금통장 사용시 수수료 면제 및 지급","답변
국고예금계좌에서 출금하여 타 예금계좌로 이체(타행이체 포함), 자기앞수표 발행 등 출납공무원의 예금거래에 따른 수수료는 면제됩니다.
  국고예금계좌로의 입금에 따른 수수료는 각 금융기관의 거래관행에 따릅니다. 다만, 출납공무원이 거래점에 무통장으로 입금하는 경우에는 수수료가 면제됩니다."
60,"질문
국고증권 출납공무원 착오시 국고예금 정정절차","답변
출납공무원의 착오로 잘못 입출금된 경우에는 출납공무원이 작성한 입출금 전표에 의해 당일자로 정당 계좌에서 출금하여 착오 출금된 계좌로 입금처리(잘못 입금된 경우에는 잘못 입금된 계좌에서 출금하여 정당계좌로 입금)하여야 하며, 기산일 거래 등 거래일자를 소급하여 적용하는 것은 불가능합니다."
61,"질문
경제통계 국민처분가능소득과 국민총처분가능소득","답변
국민처분가능소득(National Disposable Income, NDI)은 국민경제 전체가 현재의 생산능력을 유지시키면서 소비나 저축으로 처분할 수 있는 소득의 규모를 나타냅니다. 국민처분가능소득은 시장가격으로 평가한 국민소득(Net National Income, NNI)에 경제활동과는 관계없이 외국으로부터 받은 소득(국외수취경상이전)은 더하고 외국에 지급한 소득(국외지급경상이전)은 차감한 것입니다. 국민처분가능소득에 고정자본소모(감가상각비)를 더한 개념이 국민총처분가능소득(Gross National Disposable Income, GNDI)이며, 이는 소비나 저축으로 자유로이 처분할 수 있는 최대소득으로서 소비율, 저축률, 투자율 등의 지표 산정에 이용됩니다. 국민총처분가능소득은 국민총소득(GNI)에 거주자가 수취한 경상이전을 더하고, 비거주자에게 지급한 경상이전을 차감한 금액에 해당합니다.  

· 국민총처분가능소득 = 국민처분가능소득 + 고정자본소모
                                = GNI(국민총소득) + 국외순수취경상이전"
62,"질문
경제통계 명목GDP와 실질GDP의 차이","답변
명목 GDP는 경제규모 등의 파악에 이용되는 지표로서 국내에서 생산된 최종생산물의 물량에 해당 기간의 가격을 곱하여 산출합니다. 따라서 명목 GDP에는 최종생산물의 물량과 가격 변동분이 혼재되어 있습니다. 이에 반해 실질 GDP는 국내경제의 생산활동 동향을 나타내는 경제성장률 산정에 이용되는 지표로서 지수기준년부터 당해년까지 매년 개별 재화와 서비스의 상대가격 및 가중치 변화를 반영한 물량측정치입니다. 이에 따라 실질 GDP의 변동분은 가격 변화분을 제거한 순수한 생산물량의 변동분만을 나타냅니다."
63,"질문
경제통계 GDP 통계의 작성주기 및 발표시기","답변
분기 실질 국민소득통계의 속보치는 해당분기 종료후 28일 이내에 “20xx년 x분기 실질 국내총생산(속보)”이라는 제목으로, 분기 실질 및 명목 국민소득통계의 잠정치는 해당분기 종료후 70일 이내에 “20xx년 x분기 국민소득(잠정)”이라는 제목의 보도자료를 통하여 모든 경제주체에게 동시에 공표됩니다. 연간 국민계정통계는 잠정의 경우 해당년도 종료 후 3개월 이내에 “20xx년 국민계정(잠정)”이라는 제목으로, 확정의 경우에는 익익년 3월에 “20xx년 국민계정(확정)”이라는 제목의 보도자료를 통해 공표됩니다. 국민소득 및 국민계정 통계는 공표당일 보도자료 및 한국은행 경제통계시스템을 통해 공표되며 「조사통계월보」, 「경제통계연보」에도 수록됩니다.
  국민소득통계는 추계시 이용자료의 사정에 따라 속보치 및 잠정치가 수정됩니다. 분기별 국민소득통계(속보)는 해당분기 잠정 추계시 1차 수정되고, 연간 잠정 및 연간 확정 추계시 다시 수정됩니다. 연간 잠정치 및 연간 확정치를 발표하는 매년 3월에는 연간 잠정 및 확정년도를 포함해 원계열은 최근 5개년, 계절조정계열은 최근 6개년의 통계가 수정될 수 있습니다. 또한 국민소득 및 국민계정 통계는 센서스 등 기초통계의 활용, 지수의 현실화, 추계기법 변경 등을 위해 5년마다 기준년을 개편하며 이에 따라 확정치도 기준년 개편시 수정될 수 있음에 유의하여야 합니다. 한편 확정치 공표시 잠정치와의 차이 및 잠정치 공표시 속보치와의 차이에 대해 각각의 발생 원인을 함께 공표합니다."
64,"질문
경제통계 기여도와 기여율","답변
국민소득통계와 같은 시계열자료의 변동을 분석하는 경우 그 변동이 어떠한 요인에 의하여 얼마만큼 이루어졌는가를 파악할 때 이용되는 지표가 성장기여율과 성장기여도입니다. 구체적으로는 다음과 같은 산식에 의해 산출됩니다.
위와 같은 산식에 의해 도출된 부문별 성장기여율의 합은 100이 되며, 부문별 성장기여도의 합은 상위부문의 증감률(전체 성장률)과 같게 됩니다. 그러나 연쇄가중법에 의해 작성되는 실질 GDP의 경우 가법성이 성립하지 않기 때문에 하위부문의 기여도합이 상위부문의 성장률과 같도록 하기 위해서는 다소 복잡한 방식이 필요합니다. 연쇄가중법에서의 기여도 산출방식에 대해서는 「연쇄가중 경제성장률 이해」 책자를 참고하시기 바랍니다. 「연쇄가중 경제성장률 이해」(책자)는 한국은행 홈페이지(조사·연구자료 > 종류별자료 > 단행본 > 우리나라의 국민계정)에서 찾아보실 수 있습니다."
65,"질문
경제통계 인플레이션과 인플레이션율의 개념","답변
우리가 생활에 필요한 상품과 서비스를 구입할 때 지급하는 돈의 액수를 가격이라고 합니다. 물가란 시장에서 거래되는 개별 상품 등의 가격을 경제생활에서 차지하는 중요도 등을 고려하여 평균한 종합적인 가격수준을 말하며 물가가 지속적으로 오르는 현상을 인플레이션(inflation)이라고 합니다. 만일 시장에서 물가가 지속적으로 오르는 경우(인플레이션 발생시) 구입할 수 있는 상품과 서비스의 양은 물가가 오르기 전보다 감소하게 되므로 돈의 가치 즉, 화폐의 구매력은 떨어지게 됩니다. 그리고 인플레이션율(inflation rate)은 물가 상승률을 의미합니다.
  물가의 움직임을 알기 쉽게 지수화한 물가지수를 이용하여 인플레이션율(inflation rate)을 측정하는데 우리나라의 대표적인 인플레이션율은 소비자물가지수를 이용하여 측정한 소비자물가상승률이며 소비자물가지수 이외에도 생산자물가지수, GDP디플레이터 등을 이용하여 인플레이션율을 측정할 수 있습니다.
  일반적으로 과도한 인플레이션(inflation)은 소득분배 및 자원배분을 왜곡시키고 민간의 저축과 투자를 위축시키는 등 국민경제의 건전한 성장의 걸림돌이 되기 때문에 물가안정은 나라경제에서 매우 중요한 정책과제입니다."
66,"질문
경제통계 PPP 국민소득","답변
국가간 경제수준 비교시 가장 널리 이용되고 있는 통계가 대미시장환율로 환산한 국민소득입니다. 그런데 시장환율은 통화의 구매력과 관계가 없는 자본거래에 크게 영향을 받는 데다 국가간 교역이 이루어지지 않는 재화와 서비스의 상대가격을 반영하지 못하는 단점이 있어 시장환율로 환산한 국민소득은 실질구매력을 제대로 반영하지 못합니다. 예컨대 한 나라의 시장환율이 상품거래가 아닌 자본거래나 심리적 요인 등에 의해 급등하여 자국의 통화가치가 크게 하락하였을 때에는 자국통화표시 1인당 국민소득 수준에는 아무런 변동이 없더라도 시장환율로 환산된 미달러화표시 1인당 국민소득은 자국통화가치가 하락한 만큼 감소하게 됩니다.
  UN통계위원회와 OECD통계국은 이와 같은 시장환율의 적용에 따른 문제점을 완화하고 각국의 경제력과 국민의 생활수준을 실질구매력에 의해 보다 정확하게 비교하기 위하여 각국의 상대물가수준을 감안한 구매력평가(Purchasing Power Parity) 환율이라는 새로운 환가수단(換價手段)을 개발하여 국민소득 국제비교작업(International Comparison Program)을 실시하고 있습니다. 이에 따라 각국의 경제력과 국민의 생활수준을 실질가치기준에 의해 보다 정확하게 산출ㆍ비교할 수 있도록 등장한 것이 구매력평가 환율에 의한 국민소득(통칭 PPP 국민소득)입니다.
  구매력평가 환율은 한 나라의 화폐가 어느 나라에서나 동일한 구매력을 가져야 한다는 가정 하에 구해지는 환율입니다. 즉 1달러로 미국에서 구매할 수 있는 재화와 서비스를 다른 나라(비교국) 시장에서 그 나라의 화폐로 구매할 때의 가격으로 평가한 환율로서 통화간의 교환비율이라기보다는 자국 통화의 대외 실질구매력을 나타냅니다."
67,"질문
경제통계 GNP는 더 이상 작성되지 않는 지표인가요?","답변
우리에게 익숙한 경제성장 지표에는 GDP와 GNP가 있습니다. GDP는 소유에 관계없이 한 나라에 있는 노동, 자본 등 모든 생산요소를
결합하여 만들어낸 최종생산물의 합이며, GNP는 한 나라가 소유한 생산요소를 국내외의 생산활동에 참여시킨 대가로 받은 소득을
합계하여 산출하는 지표입니다. 다음의 산식은 이 두 지표의 관계를 잘 설명해 줍니다.

명목 GNP = 명목 GDP + 명목 국외순수취 요소소득
실질 GNP = 실질 GDP + 실질 국외순수취 요소소득

과거 거시경제분석이 주로 GNP에 초점이 맞추어졌는데 1970년대 이후 세계적으로 경제의 국제화가 급격히 진전되면서 노동이나 자본의
국가간 이동이 확대됨에 따라 GNP기준 성장률이 국내의 경기 및 고용사정 등을 제대로 반영하지 못한다는 문제가 제기되었습니다.
더불어 실질 GNP는 교역조건이 변화하지 않는다고 가정하여 산정되므로 교역조건 변화에 따른 실질소득의 변화를 반영하지 못하는
한계도 지적되었습니다. 이에 따라 각 국은 경제성장의 중심지표를 GDP로 바꾸기 시작했고 우리나라도 이런 국제추세에 발맞추어
1995년부터 중심지표를 GDP로 변경하여 발표하게 되었으며, 소득지표로는 GNP 대신 GNI와 GDI를 편제하여 발표하고 있습니다.
개념적으로 보면 명목 GNI는 명목 GNP와 동일하나 실질 GNI는 실질 GNP와 상이합니다.

 
  경제성장 지표 산식
< 실 질 >
< 명 목 >
실질 GDP
+교역조건 변화에 따른 실질 무역손익
명목 GDP
= 실질 국내총소득(GDI)
+ 실질 국외순수취 요소소득
+명목 국외순수취 요소소득
= 실질 국민총소득(GNI≠GNP)
= 명목 국민총소득(GNI=GNP)"
68,"질문
경제통계 GDP, GNI, GDI의 차이","답변
실질 국내총소득(Gross Domestic Income : GDI)은 국내에서 생산된 최종생산물의 실질구매력을 나타내주는 지표로서 실질 GDP에 교환되는 상품간의 상대가격 변화에 따른 구매력의 변동분(실질거래손익)을 조정하여 계산됩니다. 상대가격 변화에 따른 실질거래손익은 거주자간의 거래에 있어서는 거래손실과 거래이익이 서로 상쇄되므로 거주자와 비거주자간의 거래, 즉 무역에서만 발생하는데 이를 “교역조건 변화에 따른 실질무역손익”이라 합니다. 한편 실질 국민총소득(Gross National Income : GNI)은 우리나라 국민이 국내는 물론 국외에서 벌어들인 소득의 실질구매력을 나타내는 지표로서 실질 GDI에 외국인이 국내에서 벌어간 실질소득은 차감하고 우리 국민이 국외에서 벌어들인 실질소득은 더하여 산출합니다.
   실질 GDI = 실질 GDP + 교역조건 변화에 따른 실질무역손익
 실질 GNI = 실질 GDI + 실질 국외순수취 요소소득"
69,"질문
경제통계 분기 및 연간 GDP에서 작성되는 주요 세부통계","답변
분기 GDP에서는 경제활동별 국내총생산(금액, 증감률 및 성장기여도)과 국내총생산에 대한 지출(금액, 증감률 및 성장기여도)을 명목과 실질 기준으로 작성하여 발표하고 있으며 총저축률, 투자율, 디플레이터 등도 함께 공표하고 있습니다. 연간 GDP에서는 분기 GDP에서 발표하는 내용 이외에 1인당 GNI(국민소득), 경제구조(생산, 지출, 분배), 노동소득분배율, 수출입의 대GNI 비율 등의 지표와 국민소득통계의 종합계정(국내총생산과 지출, 국민처분가능소득과 처분, 자본거래, 국외거래), 제도부문별 소득 및 자본 계정 등의 통계표도 포함되어 있습니다."
70,"질문
경제통계 기준년 개편","답변
기준년 개편은 재화와 서비스의 상대가격체계 변화, 생산 기술 변화 등에 따른 국민경제의 구조적 변화를 반영함으로써 국민계정통계의 현실 반영도를 높이기 위해 이루어지며, 대부분의 다른 국가들에서도 5년마다 기준년을 변경하고 있습니다. 또한 기준년 개편은 국민계정통계 추계시 사용되는 소비자물가지수, 생산자물가지수, 광공업생산지수 등의 기초통계와의 기준년을 일치시켜 통계 이용자의 편의를 도모하기 위해서도 필요합니다. 한편 기준년 개편시에는 신산업의 반영, 포괄범위의 변경, 추계방법의 개선 등으로 인해 실질 금액뿐만 아니라 명목 금액도 바뀌게 됩니다."
71,"질문
경제통계 연쇄가중법","답변
실질 GDP는 비교년의 생산량(물량)에 기준년의 가격을 곱하여 산출하는데, 기준년의 고정 여부에 따라 추계방법을 고정가중법과 연쇄가중법으로 구분할 수 있습니다. 고정가중법(fixed weighted method)은 차기 기준년 개편이 있기 전까지 매년 동일한 기준년(예: 2010년)을 사용하는 방식입니다. 이에 반해 연쇄가중법(chained weighted method)은 OECD 회원국 등 대부분의 선진국들이 채택하고 있는 방식으로 기준년이 매년 직전년도로 변경되는 방식입니다. 연쇄가중법에서는 매년 직전년도를 기준년으로 삼아 당해년의 전년대비 물량증가율(연환지수)을 먼저 구하고 이를 누적하여 당해년의 연쇄지수와 실질 GDP금액을 사후적으로 계산합니다. 즉 연쇄가중법에서는 최근의 경제상황과 관련성이 높은 직전년도의 가격 또는 가중치를 사용하여 각 연도의 경제성장률(전년대비 물량증가율)을 측정하게 됩니다.
  연쇄가중법의 가장 큰 장점은 고정가중법에 비해 경제현실의 반영도가 높다는 점입니다. 고정가중법은 기준년의 가중치가 비교년에 계속 유지된다는 비현실적인 가정을 전제로 하고 있어 비교년이 기준년으로부터 멀어질수록 GDP 통계의 현실반영도가 저하되지만, 연쇄가중법은 최근의 경제상황과 밀접한 직전년도의 상대가격 및 가중치를 기준으로 경제성장률을 측정함에 따라 산업구조·생산기술의 변화, 상품의 등장·퇴장 등을 즉각 반영할 수 있습니다. 이러한 이유로 인해 우리나라를 비롯한 대부분의 OECD 국가들이 연쇄가중법을 채택하고 있으며 국민계정 편제의 국제적 기준이 되는 SNA(System of National Accounts)에서도 동 방법을 권유하고 있습니다.
  다만 연쇄가중법을 통해 산출된 실질 GDP에서는 총량금액과 그 구성항목의 합계간에 가법성(additivity)이 성립하지 않으므로 하위 부문을 합산하거나 기여도 등을 산출할 때 각별한 주의가 필요합니다. 연쇄가중법에 대한 더욱 자세한 내용은 한국은행에서 발간한 「연쇄가중 경제성장률 이해」 책자(한국은행 홈페이지 > 조사·연구자료 > 종류별자료 > 단행본 > 우리나라의 국민계정 > 「연쇄가중 경제성장률 이해」)를 참고하시면 됩니다."
72,"질문
경제통계 세계 주요국의 GDP통계","답변
OECD, IMF, UN 등의 국제기구에서는 주요국의 경제통계를 취합하여 제공하고 있습니다. 이들은 주요 국가의 다양한 경제통계 뿐만 아니라 각 국가나 지역의 경제상황에 대한 다양한 보고서 등을 작성하여 제공하고 있습니다.
  OECD : http://stats.oecd.org
IMF : www.imf.org > Data
UN : http://unstats.un.org"
73,"질문
경제통계 경제통계 관련 해설 책자","답변
경제통계 관련 해설 책자는 한국은행 홈페이지(조사·연구자료 > 종류별자료 > 단행본)와 한국은행 경제통계시스템(통계연구/간행물 > 주요 경제통계해설책자)에 게재되어 있으며, 한국은행 화폐박물관 서적/기념품 코너에서도 구입할 수 있습니다.
  경제통계와 관련된 연구 및 해설 자료는 한국은행 홈페이지(조사·연구자료 > 종류별자료 > 계간 > 국민계정리뷰)와 한국은행 경제통계시스템(통계연구/간행물 > 통계연구자료)을 통해 이용할 수 있습니다."
74,"질문
경제통계 한국은행 작성 통계 종류 및 이용방법","답변
한국은행은 국민소득, 통화 및 금리, 물가, 국제수지, 자금순환, 기업경영분석, 산업연관표, 소비자동향조사, 기업경기조사 등 국가경제정책 수립에 필요한 주요 경제통계를 작성하고 있으며, 이들 통계의 정도를 높이고 새로운 통계를 개발하는 데 많은 노력을 기울이고 있습니다.
  한국은행에서 작성하는 통계는 통계별 연간 공표일정에 따라 보도자료 등으로 공표되고 있으며 한국은행 경제통계시스템(http://ecos.bok.or.kr)을 통해서 편리하게 검색할 수 있습니다. 또한 경제통계를 쉽게 이해하고 활용하는 데 도움이 되도록 주요 경제통계의 의미와 작성방법 등이 수록된 「알기쉬운 경제지표 해설」(책자)을 발간(한국은행 홈페이지 : 조사·연구자료>종류별자료>단행본 및 한국은행 경제통계시스템 : 통계연구/간행물>주요 경제통계해설책자에 게재)하고 있습니다."
75,"질문
공통일반 국회 및 정부와의 관계","답변
「한국은행법」은 한국은행이 수행하는 통화신용정책의 중립성·자율성·자주성이 존중되어야 함을 천명하는 한편 국회에 대한 책임과 정부와의 협력 및 견제에 대하여 규정하고 있습니다.
국민의 대표기관인 국회에 대한 책임성을 제고하기 위해 매년 2회 이상 통화신용정책 수행상황과 거시 금융안정상황에 대한 평가보고서를 작성하여 국회에 제출하고 총재는 동 보고서와 관련하여 국회 또는 그 위원회가 요구하는 경우 출석하여 답변하여야 합니다. 또한, 한국은행 총재 임명시 국회의 인사청문회를 거쳐야 하며, 매년 국회의 국정감사를 받고 있습니다.

정부와의 협력과 견제를 위해 「한국은행법」에는 한국은행의 통화신용정책이 물가안정을 저해하지 않는 범위에서 정부의 경제정책과 조화를 이루어야 한다고 명시되어 있고 한국은행이 목표로 하고 있는 물가수준을 설정할 때 정부와 사전 협의를 의무화하고 있습니다. 또한, 기획재정부장관은 금융통화위원회의 의결이 정부의 경제정책과 상충된다고 판단되는 경우 재의를 요구할 수 있도록 하고 있으며, 한국은행 총재는 금융통화에 관한 사항에 대하여 국무회의에 출석하여 발언할 수 있습니다. 아울러 금융통화위원회는 금융위원회가 통화신용정책과 직접 관련되는 금융감독상의 조치를 하는 경우 이의가 있을 때는 재의를 요구할 수 있도록 하고 있습니다.
한편, 한국은행의 통화신용정책은 정부정책과 조화를 이루어야 하지만 ‘물가안정을 저해하지 않는 범위 내에서’ 조화를 이루도록 명시하고 있으므로, 정부의 경제정책에 협조하는 것이 물가안정과 상충하는 경우에는 원칙적으로 물가안정에 우선순위를 두어야 할 것입니다. 이 경우 정부정책과의 조화가 물가안정을 저해하지 않는 범위 내인지에 관하여는 한국은행의 독자적인 판단에 맡겨져 있습니다."
76,"질문
공통일반 한국은행의 역사","답변
우리나라 중앙은행제도의 역사는 대한제국으로 거슬러 올라갈 수 있습니다. 대한제국은 통화주권 회복을 위해 1901년 2월 「화폐조례」 및 1903년 3월 「중앙은행조례」, 「태환금권조례」 등을 공표하는 한편 「대한중앙은행정관」을 제정(1903년 3월)하고 총재·부총재를 임명(1903년 8월)하는 등 대한중앙은행의 설립을 추진하였으나, 일본의 방해로 실현되지 못하였습니다. 1904년 러일전쟁 이후 일본이 우리 경제주권을 찬탈하면서 일본 제일은행이 대한제국의 화폐정리 및 국고금취급 사무를 수행하고 제일은행권이 통용되는 등 실질적으로 중앙은행의 역할을 수행하게 됩니다. 이후 대한제국 정부와 일본 통감부의 협정에 의해 1909년 11월 구(舊) 한국은행이 설립되어 당시 일본 제일은행이 맡아오던 발권 및 국고업무를 인수하였습니다. 구(舊) 한국은행은 한일합방 후 1911년 8월 조선은행으로 개편되었는데 발권·국고업무 등 중앙은행의 기능 외에 상업은행업무도 취급하였습니다. 그러다가 1950년 6월 한국은행이 설립되면서 본격적인 중앙은행의 모습을 갖추게 되었습니다.

설립 당시 한국은행은 통화신용정책, 외환정책 및 은행감독에 대한 광범위한 기능을 부여받았으며 정책결정의 자율성도 상당 폭 보장되었습니다. 그러나 정부 주도의 성장위주 경제정책운용을 금융 면에서 뒷받침할 목적으로 1962년 5월 「한국은행법」이 대폭 개정(제1차 개정)되면서 통화정책에 대한 최종권한 및 외환정책이 정부에 귀속되고 금융통화운영위원회의 정책결정사항에 대한 재무부장관의 재의요구권이 신설되는 등 한국은행의 정책결정과정이나 업무 운영에 대한 정부의 간여장치가 크게 강화되었습니다.

이후 「한국은행법」은 기본골격의 큰 변화 없이 유지되어 오다가 1997년과 2003년 두 차례에 걸쳐 한국은행의 독립성과 통화신용정책의 중립성을 강화하는 방향으로 대폭 개정되었으며, 2008년 글로벌 금융위기의 경험을 토대로 세계적으로 거시건전성정책의 중요성이 확대됨에 따라 2011년 9월 제8차 「한국은행법」 개정을 통하여 목적조항에 통화신용정책을 수행함에 있어 금융안정에 유의하도록 하여 금융안정 책무를 명시적으로 부여하는 등 중앙은행의 금융안정 역할을 강화하는 방향으로 개정되었습니다.
한편, 한국은행에 있던 은행감독원은 1998년 4월 1일자로 한국은행에서 분리되어 별도의 무자본 특수법인으로 설립되었으며 1999년 1월 2일 증권감독원, 보험감독원 및 신용관리기금과 함께 금융감독원으로 통합되었습니다.

참고로 도움이 될 만한 자료는 다음과 같습니다.
  한국은행, “한국의 금융제도”, 2011
한국은행, “한국은행이 하는 일”, 2010
정운찬·김홍범, “화폐와 금융시장”, 율곡출판사, 2012"
77,"질문
경제통계 계절변동조정","답변
추세변동요인(T)
순환변동요인(C)
계절변동요인(S)
불규칙변동요인(I)
통계의 계절변동조정계열(seasonally adjusted series)이란 원계열의 통계수치에서 1년의 주기를 갖는 계절변동요인(S)을 제거한 통계 시계열로서 분기별 또는 월별 통계의 전기비 분석을 목적으로 작성됩니다. 통계의 전년동기대비 증감률을 이용하여 경제현상을 분석하는 경우 비연속적인 비교로 인해 경기국면의 전환시점에서 착시현상이 발생할 수 있습니다. 예컨대 다음과 같이 경기가 순환할 경우 ①′ 이후 경기가 회복되었음에도 불구하고 ①′과 ②′의 전년동기대비 성장률은 마이너스(-)를 보임을 알 수 있습니다.

통계의 전년동기대비 증감률
시 기
증감률 (%)
 전년동기대비
전기비
①'
-10.7
2.2
②'
-5.0
3.3
③'
5.4
3.2
④'
16.7
7.1
한편 계절변동조정계열의 전기비 증감률은 전년동기대비 증감률에 비해 상대적으로 변동성이 큰 경향이 있는데, 이는 전기비 증감률에는 1년 이내의 단기간에 발생하는 불규칙변동요인이 영향을 크게 미치기 때문입니다. 이처럼 계절변동조정계열의 전기비 증감률은 상대적으로 큰 변동을 보이므로 1개 분기의 전기비 증감률 부호만으로 경기순환을 판단하는 데에는 무리가 있을 수 있습니다. 이러한 이유로 인해 2~3개 분기에 걸쳐 평활화한 이동평균 계절변동조정통계치의 전기비 증감률 또는 추세순환변동통계치의 전기비 증감률을 활용하여 경기순환을 판단하는 데 활용하기도 합니다."
78,"질문
공통일반 한국은행의 법적성격","답변
한국은행은 무자본특수법인입니다. 한국은행은 「한국은행법」에 따라 설립된 특수법인이라는 점에서 그 법적 성격이 민법에 의하여 설립되는 사단·재단법인이나 상법에 의하여 설립되는 회사와 다르며, 그 조직·업무·운영 등에 있어서 우선적으로 설립근거법인 「한국은행법」의 적용을 받습니다. 한국은행은 우리나라 화폐의 독점적 발행, 통화신용정책의 수립 및 집행, 정부예금의 수입 및 대정부 여신 등 「한국은행법」에 의하여 부여된 공적 기능을 수행하는 점에서 행정주체로서의 지위를 가진다고 할 수 있지만 독자적인 법인격을 가지고 있어 국가행정기관은 아니며 그 소속 임직원도 공무원의 신분을 갖지 않습니다. 다만, 한국은행 업무의 공적 성격을 감안하여 형법 기타 법률에 의한 벌칙 적용에 있어서만 공무원으로 볼 뿐입니다. 이와 같이 한국은행을 국가행정조직과 분리하여 특수법인으로 한 것은 통화신용정책의 수립·집행 등 중앙은행 기능이 일반행정과 달리 전문성·중립성·자율성이 강하게 요구되는 점을 고려하여 이를 독립적인 기구에 맡기고자 하는 데 그 의의가 있습니다.

또한 한국은행은 특수법인이면서 무자본법인입니다. 여기서 무자본이라 함은 납입자본금이 없다는 뜻입니다. 실제 한국은행의 회계에는 자본금계정이 없으며, 장래의 손실 보전 기타 일정한 목적을 위하여 순이익금의 일부를 내부에 유보하는 적립금을 보유할 뿐입니다. 한국은행을 무자본법인으로 한 것은 중앙은행의 업무는 독점적인 발권력에 기초를 두고 있기 때문에 그 자본금이 일반기업에서와 같은 영업기금으로서의 의미가 희박한 점이 작용하였지만, 이 보다는 한국은행이 출자자본금을 가지는 경우 출자자(실제로는 정부)와의 이해관계로 인하여 통화신용정책의 중립적·자율적인 운영이 저해될 우려가 있고 자칫 수익성을 추구함에 따라 중앙은행으로서의 공공성이 훼손될 우려가 없지 않은 점을 고려한 것이라 하겠습니다."
79,"질문
공통일반 중앙은행제도의 역사","답변
중앙은행이 처음부터 공공기관으로 출발하였던 것은 아니며 초기에는 정부의 인가를 받아 설립된 특수 상업은행으로서의 성격이 강했습니다. 예를 들면 가장 오래된 중앙은행으로 알려진 스웨덴 국립은행은 1656년에 민간은행으로 설립되어 1668년부터 국회의 승인 하에 정부의 은행으로서의 역할을 수행하였으나 다른 상업은행들과 경쟁적인 관계에서 일반상업금융업무도 취급하였습니다. 이 은행이 최종대부자 기능을 갖게 된 것은 그로부터 약 230년 후인 1890년에 들어서이며 독점적 발권력도 1897년에 부여받았습니다. 한편, 독점적인 발권력을 세계최초로 부여받았다는 점에서 오늘날과 같은 전형적인 중앙은행의 효시로 꼽히는 영국의 영란은행도 1694년에 설립되었으나 당시에는 중앙은행이라는 개념조차 존재하지 않았으며 영란은행이 발행한 화폐가 영국의 유일한 화폐로 공식적으로 인정된 것은 영란은행에 대해서만 은행권 발행을 허용한 은행특허법(일명 : Peel's Act)이 제정된 1844년의 일입니다.

당시 대부분의 중앙은행은 정부가 재정자금이 필요한 경우 이를 지원해 주는 대신 은행권발행에 있어 특혜를 받았다는 점을 제외하고는 상업은행들과 크게 다르지 않았습니다. 그 후 국가의 지원과 보호 하에 발권기능을 독점하게 된 중앙은행이 이를 바탕으로 금융시장 전반에 막강한 영향력을 행사할 수 있게 되면서부터 근대적 중앙은행의 기능이 점차 뿌리내리게 되었습니다. 특히 화폐제도가 1930년대 초 화폐발행규모를 금 보유량과 연계시켜온 금본위제도에서 관리통화제도로 이행되면서 중앙은행은 국가기관으로 발전하게 되었습니다. 무제한적으로 통화증발이 가능한 관리통화제도 하에서는 통화가치의 붕괴 위험이 언제나 잠재하기 때문에 발권기능을 수행하는 중앙은행의 국민경제적 중요성이 한층 높아지게 된 것입니다.

참고로 도움이 될 만한 자료는 다음과 같습니다.
  한국은행, “한국의 금융제도”, 2011
김시담, “통화금융론”, 박영사, 2004
정운찬, ""“중앙은행론”"", 학현사, 1995"
80,"질문
공통일반 조선은행 예금 및 수표 등에 대한 지급","답변
조선은행은 1982년에 청산절차가 완료되었으므로 조선은행 예치금, 조선은행발행 수표금에 대한 지급을 청구할 상대가 없어진 상태입니다.

이와 관련하여 많은 분들이 한국은행과 조선은행이 동일한 것으로 이해하시지만 법적으로는 서로 완전히 단절된 별개의 기관입니다. 즉, 한국은행은 1950년 6월에 설립될 당시 조선은행이 발행한 지폐와 재무부장관과 조선은행총재가 합의한 범위에서 조선은행 부채의 일부를 인수하였으나 일반 민간인이 갖고 있던 예금을 비롯한 조선은행의 민간인에 대한 부채는 인수할 수 없었습니다. 왜냐하면 한국은행은 법률에 의하여 민간인과는 예금·대출업무를 할 수 없도록 되어 있었기 때문입니다.

이러한 사정으로 인하여 한국은행은 민간인의 조선은행 예치금, 조선은행발행 수표금 등에 대하여 지급책임이 없음을 알려드립니다."
